source_tx_hash,source_address,bridge_kit_fee_circle_collected,bridge_kit_fee_dev_collected,destination_chain,source_amount_numeric
0x304597eedc706dce88e6ec2ca1dacbf4ded5f349c99345c9cd11973b5b93ff70,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,HYPEREVM,0.100000
0xee0ec5ad3dbc60b3d213871a5164a82d3c989fa507a8edf09e5a1fe899097045,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,802.750000
0x322fb3135a79aa4a94331daa05c9d8af0f5110b9984ca6e2dbcb49ffcdc53f36,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0.01499999999999998556710067987296497449,0.13500000000000000888178419700125232339,BASE,2999.850000
0x9a62b68b3c80da3072109ffb727ba460a7190cae07e238ba5446d04bfe07565d,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0.00010000000000000004544975507059234587,0.00089999999999999997536692664112933926,BASE,19.999000
0x61497bdb8cc02ccb2cc66572b223da9d8b4c86f14847f00881a838f23ea16215,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0.00001200000000000000708027386719933816,0.00011299999999999999552181134676587249,BASE,2.499875
0x4f390c694b60091828de5679296b9b8bc02425689de1e8cc92e0b0e7b899e1cb,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0.00003999999999999999649585857852684967,0.00036000000000000002267283583101686872,BASE,7.999600
0x5a1b2ab854615240d30405f5487b714f9d41126ae3736a95f269e71e94471e2f,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0.00007499999999999997987720767866903770,0.00067500000000000003573530360512222614,BASE,14.999250
0x160d27710056d644768b7ae0a30380871d479edac47e1e875e1537a880f0fc3a,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0.00011999999999999988106735848703010561,0.00108000000000000001380839886877538447,BASE,23.998800
0xd969df452a1412b4739e6b19525ba21e1f0a8d16b3f622c37a58c9ffbde2c76c,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,LINEA,1.000000
0x791daf394899248250cd5b7d507d4dd0022cde749c5b939afbe2ed02421e0bef,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,LINEA,0.100000
