blockchain,wallet_address,is_circle_wallet,tx_hash,# of Transactions,Circle Collected Fee$,Transaction Volume$
arbitrum,0x3cf908c87e6783f8c31f76ae5113488c8c33028a,False,0xcda8a16e553b989ccc578b6400b1e914cedc962af355f074995d2aad50d7b13d,1,0.0,0.9998
ethereum,0x3cf908c87e6783f8c31f76ae5113488c8c33028a,False,0x5bcd655c091170a8e9792a40d876c37ae63ad55e8ff0f9449cfd602437dc47e5,1,0.0,4.999
base,0xb01caea8c6c47bbf4f4b4c5080ca642043359c2e,False,0xef1348007c9b940f669b984666915498f73849c408ea606fe7cdb4bfe2d9f929,1,0.0,0.09998
base,0xf79a32b893b793ff4964134273b9c0ab8e9b4005,False,0x266826d15624976d46deb4ee194ec9d198663f3ff4069171a33a12b0a62768e3,1,0.0,0.115068
base,0x478b4be7f3caaf9f52973b9909d0f6e7e9a1e189,False,0x31723437d9be16ec05c5bbd4de050de3a3f7ff99315b93c4046bd83e33c7a66a,1,0.0,0.9998
ethereum,0x3cf908c87e6783f8c31f76ae5113488c8c33028a,False,0x9c237f2a186f6198967c5918802ee12e2641ddc6530b8dc54e40807a067d07cd,1,0.0,5.057417
base,0x3f4e1a3f21a90af960acc652e9bf8dd7a21f3964,False,0x22a95023238cb0442c70233f6d7bcf237cd2c4f4749bc32e000efff72ed82bd5,1,0.0,0.116517
arbitrum,0x3cf908c87e6783f8c31f76ae5113488c8c33028a,False,0x96ae32526cb8f273fce29060a09add98886df9b485497be29c1ca372e5c4d86d,1,0.0,0.9998
base,0x7f078b628f788d0941366b94c1fd3a64351a3a91,False,0x220a2b26c26eb200ec9c08b62a0854068eb379441a9828c22bf8b65b4929aff1,1,0.0,1.001933
solana,,False,4ospEj1kG4agBuNrw54zf8HZzxWF24ZhgJxeN6QD1y5q9LSedLiUGbNrxjPARFBuu6Kb7gZwRNy3HhyNBvX49koW,1,0.0,
arbitrum,0x3cf908c87e6783f8c31f76ae5113488c8c33028a,False,0x119a51f188db8bafb0688ff3f810e45e77fd610bc253e23ea1e37e012ce36e93,1,0.0,5.01302
base,0x7d0ee670819225d8718631019e43836a0f91e64b,False,0x2948f76a9a753d54839652722d354b7f4cbebbb2ecd7ba4b5fb75989e8f3b726,1,0.0,0.115058
base,0xce54f65abb8b61b83c14cbe97de97fce75bbf556,False,0xecb705c78b717207ce42cdab4a97246e33d14cf19ebb06f0dea11a74ad2650ea,1,0.0,0.116517
base,0xf79a32b893b793ff4964134273b9c0ab8e9b4005,False,0x9f9477f11ceec7d59331328a11a2e13f04330c208dbe7f0549c5a4f7aeb77ca3,1,0.0,0.116551
arbitrum,0x3cf908c87e6783f8c31f76ae5113488c8c33028a,False,0x1af40c811436d04a2bd52a8e73b2fb0f9c2e52aa904966672d43d635ce9330c4,1,0.0,4.998038
solana,6E2kwnW2xVA1Mu2k6D3CYkAm3jsCa8i11GTatFrWydy7,False,3jdZdD19AoGQXLnqst9rZntaQ3W3rrg75jwnwSx5z38G2VUh5pA32v5ZEP7xWHbgDCG2sgZY8yoN9Kss8PZHq1a7,1,0.0,
arbitrum,0x3cf908c87e6783f8c31f76ae5113488c8c33028a,False,0x1e5aea3b58c0e276550588d9ed04de7f24009c6fb9628e458486d759d5ba2871,1,0.0,0.9998
arbitrum,0x3cf908c87e6783f8c31f76ae5113488c8c33028a,False,0x5f9f1b51baa8fdd897beb0da18dcbd5b4879a4cc96dc87897016c802ad0c408f,1,0.0,
base,0x8b2efb5293326e1766cb5d0855032f150a72b705,False,0xf35c4d28d02934988d86c4ce3965b25ca0942ca61de026866fb3d501a3c07fcb,1,0.0,0.115948
arbitrum,0x3cf908c87e6783f8c31f76ae5113488c8c33028a,False,0xdf64625e6f8e9c8e5b1f2d318a2950ef590a5086172cf7ddb771937f55561e69,1,0.0,4.999
base,0x2915637a5f4b83b4097fc0b2eae2fe3c1c761465,False,0x652484fed98ed834a2d8aae29fa065fb48e1fff55efd7514de1c58feec458119,1,0.0,0.009998
base,0x256b3cc1e516d124b3027ecd083aa5a940d1328e,False,0xc86859c0b41f22207fcc2e05f3a7050863539c564eb5c27ad45d916671e6e39d,1,0.0,0.009998
