blockchain,wallet_address,is_circle_wallet,tx_hash,# of Transactions,Circle Collected Fee$,Transaction Volume$
arc_testnet,0x121177297137e2307862aa7e3728ef808fc0826f,False,0xfdb24c09603b1f37baf2221d90aa52389f65067b5d30b0c52ab7c3bda4a974f3,1,0.05099,98.9802
arc_testnet,0x63192debccf3ef5a01d7a63e3eac520b309625ee,False,0x30679d3ca3081d62336342ec330d0ed3d67926580bfb1851565bf9afc5484041,1,0.0,67.8596
arc_testnet,0x7d764bc0979be4beb11ad93ee663af62c618245f,False,0xf749617f7596619ab26a6e46ac791f427387fbf5a1224d8790aa3b2c3fffa543,1,0.001019,1.979604
arc_testnet,0xec4841561470e9f5f5b534e2b57552f515d582ea,False,0xed8661750b4367e122a4c6f4bca4d6a4d87130dc985de818b8de12f09160cb5e,1,0.0,8.107964
arc_testnet,0x412b39c9fb62ebbc74cfc044c04cdbbb1077b6ce,False,0x6178cbf0ef18befac5a46663c285b4096e2e4f91f64d0338e823f17e29a08aac,1,0.006118,11.877624
arc_testnet,0xaa632dea041a359de531d41ae17b2fa4af305758,False,0x6f5fb270a0bc2654f72c445f2f551d99a8348e92259d146338d295d608861c5a,1,1.7e-05,0.856128
arc_testnet,0x97dbdde069b9f69dcceae786dd708664129a0db8,False,0x37a5044200851feff21a677db8d736fba1433d5e0bb925f21647c6ca3dda980e,1,0.0,13.642664
arc_testnet,0xe531e4b8f0320269fb8dd7bf9da9349253ef2696,False,0xa8f9696a2f7ad1183e8d38ba4969bbb74858909d716f7bd12d8ef1d739248c8a,1,0.0,6.891168
arc_testnet,0x0101c3a3bcad88d967144dec8b6c4d57282cbb10,False,0xf92fa6b84a1d996b21d3373fa8e923fbd7180d68c47e689941e584cb117269bc,1,1.4e-05,0.729854
arc_testnet,0xf609c892838c00dba5f0f4468713d63ae1afd48a,False,0x5476e9e66cb45afe35fe6a9cf3a204c6c2d55be5fc02a2fe2333b8a1df49b4c2,1,0.0,2.383904
arc_testnet,0x03316381762a88837a536b41c38f303b3d576f4b,False,0xb2f9297cb17fe7406dc55ef30694421c047d572e46f3ad93b96dee68c3a3bb86,1,1.2e-05,0.59688
arc_testnet,0x261f23dd7089cee12f51be9beedd8665114b80f4,False,0x226f9b9f7f1f7ec45d402833f3c2ee4f800cfa1a2b9cb8d713bc3303e2786a93,1,0.000233,11.657668
arc_testnet,0x89fffd6445ce173fed6aa1950bb1126cc886224f,False,0x01b7afde8a4ddb9558fca025f81ac9f73beea652b25aedb011b3efb5a219da8b,1,0.0,6.734366
arc_testnet,0x5242de174fa3fc9dd5decb832a9b7cc3737d81c0,False,0x831f0922c4dd5c97f48345a0178cc059bf19f4edf4df14a14de2ed03b6f5e5e8,1,0.0,53.941451
arc_testnet,0xd22998089777598cf152a9135e8f9f66062d0e98,False,0xd7253f68049b3ef3d4f607a968e855b35e3ade3797bcedd0f9b6bd333438db69,1,0.0,3.165455
arc_testnet,0x0b816eff93ea80567a2dfaa9fd4ff2f5957f84eb,False,0x9fe4e02f269efbaa0e0988c31f7f51ae85f29d7e7e14ce225908c855b826e019,1,0.0,3.523897
arc_testnet,0x9678a3ba5a5940635667b494c1a4f7cab6fc64e3,False,0x0e8a148e21d6c21e2ade3c1e3d2102a5779809b37a4febb061778a911390273f,1,2.9e-05,1.491601
arc_testnet,0xa8411548395ce415b905c747e5d46ac48400d70b,False,0xa719921b4793b1cb1594670094fff096a0510efc556933fce0aada0dc7188e48,1,6.6e-05,3.29934
arc_testnet,0x15ae8a1c2e6f72f817412becfd3ebf0b0bf43b46,False,0x621b88da999c7f31bcb6d32753a52e536a70177aa058c969872da3c132e4710a,1,0.007138,13.857228
arc_testnet,0x66767c359db242c2159aeaef95d332f550091131,False,0xe5e29de5d8117ea9637651b09dd0bb5b68531324cb66bfcc1daedd152c954680,1,0.000125,6.258748
arc_testnet,0xed8cd148e6d280a4f6f19cb4d5237a2442830203,False,0xa0d8ca23401b441c220789ebd4c489c69d58ad1ce10d5fedeaacf808d68a87e6,1,0.0,30.094468
arc_testnet,0xce3743e1b2d9cefd82fc629baf15c10816082cd6,False,0x02a3fe558c174e99de6f0f9ea530b23136adc0fc3d13a2286588f9470bf30894,1,1e-06,0.053289
arc_testnet,0xa8c352183482235ff85f637b831aefe4cca16ddf,False,0x6a21b25b56a71bbc3a9652856e07222f7374de6652f091434128dc54cc425ba0,1,1.6e-05,0.79984
arc_testnet,0xf8d59231bd1c74b8878ccf244c4dfff412c872f5,False,0xc64d8a65180dfc58ded73890899a0973687cb3a7b1ed7aadd4217b4fe67b8534,1,0.0,2.690832
arc_testnet,0xbef56fa5292b382e782c846b2f852059ef724aaf,False,0xcd0f6b8d0471222a66819e3d9975370bf23e3f94611c60490b824e39e477a1b1,1,3e-06,0.14797
arc_testnet,0xcb47251161af8b11c53a5255c18c90eabfb6fd7f,False,0x20e2f193dfb885f09118261751bd6569fe85c3ffb4aa5ae07716581ca52061d9,1,0.0,19.162412
arc_testnet,0xb335fb63efef2c9bca476b4be90c57c2bf00cdeb,False,0x812b5d01835e16cd9cea3c79a6f89bc30393a446932b96f05da2e947bad4e01c,1,3.0594,5938.812
arc_testnet,0x4749bee503f8772d46410422a8f246ea591e6725,False,0xd595c70296ea76c0fd033d1744249e98ec23917d6619ccc0189755aba7195651,1,0.0,4.464746
arc_testnet,0x2f978842ad6d5529dc462423dcaa7fadca2931ed,False,0xde4ff5fdc56cf0a6e1064734e33fd558c80a8c165d86fe367dc621b787db4944,1,8.8e-05,4.419116
arc_testnet,0xcc411c552890faddda8342e57dff9fdc8db182ba,False,0xdfb69d07cb69ec3954b6f7d2b796ae87d33165d00462c34445178a3b906c82ce,1,2.5e-05,1.279744
arc_testnet,0xab8d85e074d4f32fb7ddb218bfd7f9e0c764b8a6,False,0x7f6687fbf4d2733462f1a2a38400030238f3501a867963eba3ed0d8daa889375,1,3.9e-05,1.94781
arc_testnet,0x2c57b17a885f507aa1b1caca4916aaf3fdffcf9a,False,0x11fb4de410c91b49aef02331adbc535a4e06a1f945f91a120148ea4aaf7babbb,1,0.0,4.097045
arc_testnet,0xda354bb2ab4e03ab31cc107524f79ca7cfacd48a,False,0xc3d3966b734074b66ad7229ede9ce0b2c56c35287846f9f85945aa7119ebd1c1,1,0.0,5.653287
arc_testnet,0x1494c3803f050c27ecb35c9b9657a80abc580e02,False,0xce44994028764fa91c3b883d06004fc382a17f51edc720b23c4c2967fefff423,1,0.0,1.649753
arc_testnet,0x9df50ad6ff415265390f0602b5e43fd2c8f2279e,False,0x107f94de2219a16d6a96f1110f47232b85a5bb723fb0624205825052fac9245c,1,0.0,14.667726
arc_testnet,0xe80a743e2b94d27c22bab64346c7969f3d49c682,False,0x0761754116987384b8025760857d13951258addd5bbb1fc3558aacd33f21ffeb,1,2.7e-05,1.367326
arc_testnet,0x97dbdde069b9f69dcceae786dd708664129a0db8,False,0xcb137ecadec0f53ea0b3aa12c84d43f5089cac47f5eff57c65f0696e2c8f1948,1,0.000185,9.24815
arc_testnet,0x66767c359db242c2159aeaef95d332f550091131,False,0xa88da1f30b5df95bb8fd459b231babd95281e38d3b153173a748f629d83eca98,1,0.0,2.388036
arc_testnet,0xb8152dea53a8693164b2b7cfb38997724c655c9e,False,0xe82779953c93a03f7bfaaed3b828d12582dd3be281147a2db0377b602a902070,1,2.6e-05,1.309738
arc_testnet,0xe23b87adf67b4d092e6aea9e00fb210d09a3df14,False,0x6e8c8259fedfbf10924650587b1f776fdd1eb87146206b4497a4a5724f828955,1,1e-06,0.073585
arc_testnet,0xa24689956ea3ae5e4ccec37337b8b81cf466ed43,False,0xb41f6c06e52eb7ed80978973980caebeb3b064b4cd613b834c11115862bc7a9b,1,3.4e-05,1.69966
arc_testnet,0x6651c48b9d3c1faadfc9fbda5b097542ca9afde0,False,0x838e4a269f87056115f6a2d076a2c9afc96fd99bc0ffb2f861953a8fdf0e3aac,1,0.0,2.048993
arc_testnet,0x0262521ff5775a1681ecb5880e8ce990c7d6428a,False,0x2b5e4932352d66f86a3023523f12a184b3fc1f83c4a3a175fe3a9a2a8740bfd9,1,2.6e-05,1.309738
arc_testnet,0xbf51bd9ca4ce322368817b33aae18cdc9cf592e6,False,0x5f09cda210db83d50f68c43fd4488d70b1f4e6150b41ad179fb623f460b4c6bd,1,0.000115,5.74885
