dev_entity,dev_address,source_blockchain,Amount,Tx Count
Unknown,0x7a38ece48849b2ca453400ee54d33c5cfe3441b8,arbitrum,6838466.421103,72
Unknown,0x5004228fb90001efb2875d8fdbea37c354455b58,arbitrum,5264512.210000,7
Unknown,0x99e4df374b19aadd7a4dc61a9234e00afee93156,ethereum,2167405.947178,3
Unknown,0x7e4e766d0ae5ea9cded0c694669194db92800107,arbitrum,2000000.000000,2
Unknown,0x145d436eca29cd0ac0b6df3cafe00e13e0be85db,optimism,2000000.000000,2
Unknown,0x778f9c4c3b5e3d8d9fe9ef1224700cf93efc3184,sei_evm,1786394.289117,4
OKX Deposit,0x55048e0d46f66fa00cae12905f125194cd961581,arbitrum,1733775.000000,2
OKX Deposit,0x55048e0d46f66fa00cae12905f125194cd961581,ethereum,1525554.000000,3
Circle Deposit,0x39d787fdf7384597c7208644dbb6fda1cca4ebdf,linea,910226.386074,1
Unknown,0x9c1915f821912f5bbcbbd07ef92cee9cf28068d4,ethereum,753452.119158,2
Unknown,0x446f4285d1a04af1a5f6092b22829326e7ccd6d7,polygon,704102.000000,18
Unknown,0xe47ccd7cfc5c915a8bb4de9eee19341a5823289e,polygon,509464.542174,263
Unknown,0xd71685c6e9f0857ead376ccf2703eec2a7a2abef,ethereum,474752.000000,5
Unknown,0x64de8e2d0a6142e34f462b13f9feae5d9f8f98e7,arbitrum,434574.640000,1
Unknown,0xe529978e90c7f0a98d8a654689b913aae3417fc6,arbitrum,433572.367024,6
Unknown,0x97e507c4b909b68a7040d346dcc9856eed6494ca,hyperevm,410591.692000,1
Unknown,0xc6d281c0d4702c2630fa22823f8b66286acdcd54,polygon,384297.985068,53
Unknown,0x0117ce17bc661d9bc331a328dc57c05d99b087d3,hyperevm,361719.371298,2
Unknown,0x250934f9af943a0fa2f657e46e3cb7b14fa40f27,ethereum,300368.965652,1
Unknown,0x0fa394da27a611aad1b11a636e3dbbf7e52b3bcd,base,280167.497616,82
Unknown,0x7ad552569f6f46ad5ba07c9ac5e9aa345546ecb8,ethereum,280001.000000,1
Unknown,0x3461551e8a9d68314fdd43eb81f98044da4a1461,arbitrum,260222.631966,5
Unknown,0x301b44f15169daf1b01f6a5423f63229b2f65713,base,250000.000000,1
Unknown,0xe47ccd7cfc5c915a8bb4de9eee19341a5823289e,base,212066.972350,114
Unknown,0x62d9113bff4414e7d3600ffb4d6255d29e5cfc42,ethereum,205303.890546,1
Unknown,0xa7a71e78128f6e3f6db404ec47806e472f280ef8,ethereum,200000.000000,1
Unknown,0xc6d281c0d4702c2630fa22823f8b66286acdcd54,base,182665.582868,25
Coinbase Deposit,0xd3f8696e9a02565b91a27d8a20655384a9255d41,base,182066.900347,5
Unknown,0x5476fbb78d2087c7d654cfc946020481d6dc7f30,ink,177671.693452,2
Coinbase Deposit,0x6a736d2289deebacf3054b712ac76d6f08e54b7e,ethereum,170736.264467,4
Unknown,0xec1249c31b6cdf9a4489e68da95c6bb955d3ddac,polygon,161003.748685,2
Coinbase Deposit,0x272c39c82ca9f10e5338a6ee75927cfe00c82e2c,base,152412.733423,3
Unknown,0x8dfc158ae5ef57996950a219122f3d925457eb0e,avalanche,150000.000000,1
Coinbase Deposit,0xb0f094c9e85a0ee7b89214a3a67efbc131022cc0,base,140000.000200,1
Unknown,0x6778b84d06804ecc154998b3fc73e557a4f1062d,base,123299.461515,4
Unknown,0x92c99e81239c8b06441bc48aaa7f75ac94844dc6,arbitrum,119999.000000,1
Unknown,0xd46a1881fa0332c0ed1a767eae3990e6d1fe1f29,ethereum,111910.344398,1
Unknown,0x7a38ece48849b2ca453400ee54d33c5cfe3441b8,avalanche,102871.896909,1
Unknown,0x51e19c3ba26560b8a899920b02b81c6ad9fb5d5a,arbitrum,100000.000080,1
Unknown,0x8f8f2447777ec475f3c8dc24b89fb7b5fa384c80,ethereum,100000.000000,1
