bridge_kit_fee_dev_collected,bridge_kit_fee_circle_collected,dev_address,transaction_hash,amount_bridged,blockchain
,,0xe55a94fd5885b0862cef0110ff384f7d207d7251,0x391e286fbe4684995b3ecc26460ecd876184f83f171d8e46249c7915ba50b2db,0.010000,arbitrum_sepolia
,,0xd59c1b86d4287bb4793a92e84506a3bcd5a91fff,0xfd499239c78e7cb8e6b6e5db950521d79639a178c9b7cf109726760fb7b4fbce,1.000000,arbitrum_sepolia
,,0xe3a3e81e6a163db718ac45c38b7a8cca0aae364f,0x28d49ac953df0b094d78595e26e379f8199df635ed3a4dc3973e5596c8d31378,1.203941,arbitrum_sepolia
,,0xabebd227870f98989ecac6459f53a54853e4ea94,0x735642080f7401be28baa6c06a6e5e5e37e5ed52086c1a539698722b4f332eee,40.000000,arbitrum_sepolia
,,0xfbc171f350319a2e06a80ae640cdd76df084d1ef,0x63d87a4041035231c9d00c12a4851acdeb08dc01e356fed928e3ad3099cf9a38,0.010000,arbitrum_sepolia
,,0xdb49b63e444d1bef120036f0d6db6c3d5cda36b5,0x5a44bcb33bd0c8a452817f4c70a4d4ff33246fa09686df22f7fa36c03d9ec9a6,3.000000,arbitrum_sepolia
,,0xdb49b63e444d1bef120036f0d6db6c3d5cda36b5,0xdc2cb057b370b56265a1e8c9e8b9e5572271030b6e1c28e8ed96390401da8eb8,0.500000,arbitrum_sepolia
0.045,0.0050000000000000044,0x03555aa97c7ece30afe93dab67224f3ada79a60f,0xb16af0c227ffc3e6acc5fa065c280ce102373d1209a6b7f1051590c4f6e410d6,2.000000,arbitrum_sepolia
0.045,0.0050000000000000044,0x03555aa97c7ece30afe93dab67224f3ada79a60f,0x0a64fcb45b0b4cbb865cb241370b72f8075e3f69a694d053bd2dde41c02be376,1.000000,arbitrum_sepolia
0.009,0.0010000000000000009,0xf61a687724bfd47bfbb876062232ba30430428ea,0xcd1aacf147f7f56b8f09b70ce2974965e25aa15c418d124361f8748da14b9cf9,2.990000,arbitrum_sepolia
