block_timestamp,source_tx_hash,blockchain,destination_chain,source_amount_numeric,bridge_kit_fee_total,bridge_kit_fee_circle_collected,bridge_kit_fee_dev_collected
2026-04-16 10:49:26+00:00,0xf9cd96cb1a3241acfd9a5e0cb7401c8cd12b4ced1f3cda3e277f6e746a50792e,ARB,PHAROS,0.010000,9.9999999999999995474811182588626E-7,0E-38,9.9999999999999995474811182588626E-7
2026-04-16 07:16:03+00:00,0xf52e876cca13eeb6c71883efbf8c6051c6f57bda46f453a8df94323f8415b1a8,ARB,PHAROS,0.010000,9.9999999999999995474811182588626E-7,0E-38,9.9999999999999995474811182588626E-7
2026-04-16 01:29:44+00:00,ryxF132fnZo63vppXBiA63ZppjpYdMe7GgUshM6JEYBDQmD4raRbqYQNQctqcB9mZpEWpEoyujw25jvRjd4JpCV,SOL,PHAROS,0.010000,0E-38,0E-38,0E-38
2026-04-16 01:29:13+00:00,3dWpB3sagkorQu9Bo4VwCeeVSmjEN2Lwy5Bg67aht7ud77W74vFx1xAX9i3o2FjY9feKQsxeAuzDcUiXbG3r9hEb,SOL,PHAROS,0.010000,0E-38,0E-38,0E-38
2026-04-16 01:28:47+00:00,VF8zniN1t3qihDXzJpT4C9LnrTLvmqqUWktLTQrvc7AFGh2K1t3veT9D6QDozWV7xUEemquHf7QA6Fg3UYc85YA,SOL,PHAROS,0.010000,0E-38,0E-38,0E-38
2026-04-15 23:52:45+00:00,0x808701493f8f3117a6822d367163f4575d7ef58cb3d4edb633edd5c96c2696a1,BASE,PHAROS,0.010000,0E-38,0E-38,0E-38
2026-04-15 21:19:13+00:00,0x411bf663fe95e9f9325d001a98eeab643ec9f4883115b8441231074602a0be7b,AVAX,PHAROS,0.010000,0E-38,0E-38,0E-38
2026-04-07 02:48:59+00:00,0x325747e26fbbc7954eb3cc2be75af729ea31bd87b74ce9863d3ac96877874360,ETH,SOL,5.000000,0E-38,0E-38,0E-38
2026-04-03 14:15:56+00:00,4DGBJXEFhFfFrKCu9fLF5vGs3cycEZECj8RogCEcWkaTpvGGqMsPcaFn5H18UdHDtnBTYQTCRqHtaVRDoTiGfj5t,SOL,BASE,1.000000,0E-38,0E-38,0E-38
2026-04-01 12:18:23+00:00,0x57c78401047452da7fef90460c5e305dc1af682bffd6e09170e90e82b26cf18c,BASE,SOL,10.000000,0E-38,0E-38,0E-38
2026-03-26 19:31:14+00:00,0x9736dc03b7ccb41fd46ca61a03c4cca4c3e0644456ed1bb67b9dc70c3129d6bf,SONIC,LINEA,2.000000,0E-38,0E-38,0E-38
2026-03-26 07:23:59+00:00,0xd56aeee3a5410207da02c5e5b7666b86c262841b8390df0e5ec659de3f412e93,ETH,SOL,38.500000,0E-38,0E-38,0E-38
2026-03-24 15:19:46+00:00,0xb0107910dcf6027f100a6d4e379bf5203954f76245687830453a83d098fd853e,ARB,SOL,150.000150,0E-38,0E-38,0E-38
2026-03-23 19:23:37+00:00,0x46fd0042d009cef0fea0363a3cc1b7d576031d3a546b6652fa7274f81e9553cd,ARB,SOL,5.586237,0E-38,0E-38,0E-38
2026-03-23 18:49:24+00:00,0xe6b465cda5bfb9a2dee690d5fdf82a75429e9dc729a7eebb6189248a5c06fa3f,ARB,SOL,7.740000,0E-38,0E-38,0E-38
2026-03-21 00:05:11+00:00,4VENmdSwZzFNXKtpr9PNrabDeq4Fq3X6ZLQVHLgjGE8MhkGxpb1cH7QYk8XtUiNWEuTfn1MBeR5sYV8TLiPHW62R,SOL,MORPH,0.001000,0.00010000000000000000479217360238592960,0.00000999999999999999912396464463171242,0.00009000000000000000566820895775421718
2026-03-21 00:04:44+00:00,9ejyjMUwKP5G33yGMMKAsyRbsjjhBhnXtm6KtZiEJp1v8nmKzFq8s54aY1cqWKnEkDGJJYkY2HZ6k69hK1iaDzt,SOL,MORPH,0.001000,0E-38,0E-38,0E-38
