blockchain,wallet_address,is_circle_wallet,# of Transactions,Circle Collected Fee$,Transaction Volume$
arc_testnet,0x0b816eff93ea80567a2dfaa9fd4ff2f5957f84eb,False,98,0.002802,346.69206699999995
arc_testnet,0x66767c359db242c2159aeaef95d332f550091131,False,97,0.0033299999999999996,399.056214
arc_testnet,0x13d55a9759352f748a7fbeaa24251059f995ebb4,False,97,0.002267,272.916984
arc_testnet,0x9cb2d9b1c45828309221d3335f2c8931e70ff657,False,97,0.00143,175.649855
arc_testnet,0x41df5ec941260d497c6c239edba44df23552337d,False,97,0.009061,1028.9024
arc_testnet,0xe1e8dbf773b6bdda070d68a1e8523bc11bdffa49,False,96,0.0017719999999999997,211.221567
arc_testnet,0xa8c352183482235ff85f637b831aefe4cca16ddf,False,96,0.000681,81.948241
arc_testnet,0x1494c3803f050c27ecb35c9b9657a80abc580e02,False,96,0.001603,185.96105400000002
arc_testnet,0x2270e79c1b2478cc98bb7eccf3cea42c1e717ca2,False,96,0.002553,307.610338
arc_testnet,0x79ae71625285fe1a0dbbd4ca83c8fbf2d1b18f0c,False,92,0.005214999999999999,690.182931
arc_testnet,0x031333b6f652c99a73b931f951235b3bbc0a0267,False,83,0.021401,1702.2707979999998
arc_testnet,0x4749bee503f8772d46410422a8f246ea591e6725,False,79,0.003652,491.36172
arc_testnet,0x9b74e81edb27b21f03575b5523f3dd85d2a14a7f,False,78,0.003967,542.686614
arc_testnet,0x717eb88893543fef6c9b97934800c26175a9ebaa,False,76,0.002949,377.74400800000006
arc_testnet,0xa24689956ea3ae5e4ccec37337b8b81cf466ed43,False,75,0.021578,1170.633957
arc_testnet,0xd22998089777598cf152a9135e8f9f66062d0e98,False,74,0.003156,413.42642
arc_testnet,0x87fa0ef4627dc742773ef73e5ca8288828995dfc,False,74,0.003446,423.582487
arc_testnet,0xd8047dd4531a59c6fd484720c06c282ab77bd256,False,74,0.009633,1217.816466
arc_testnet,0x3e291005b8dcf97c9cb2001f7a62db3c63956c4f,False,74,0.0033150000000000002,431.4611780000001
arc_testnet,0x585a84b4c8fe248ed70204fedbf00151405866c2,False,74,0.002931,395.19051300000007
arc_testnet,0x068d420392771a694d8df8f098f0d1d87ba0167c,False,74,0.0051730000000000005,674.820059
arc_testnet,0xcb837ca67894c539cb82fa5c1c2908f7ef557519,False,73,0.00708,953.679273
arc_testnet,0x5922df5f1c905628ce34c26d9586967ea99d4362,False,73,0.005382,731.155157
arc_testnet,0x5dec18bfde9edaafe12bb6aa96a8c00acf9071e8,False,73,0.003421,482.6844510000001
arc_testnet,0x9125e4ed0f65b1a59dc49e33b4458774311cc8fb,False,73,0.003126,418.959698
arc_testnet,0x00fc44f34a3279833783997bbbee1168cfa71ace,False,73,0.003722,480.21417099999996
arc_testnet,0x6584ce4abbc3a3be5ab1a967c6bd008d2e31c393,False,72,0.0039629999999999995,511.9927600000001
arc_testnet,0xfcf429d5d152976e85cb0838313ae4ddce056871,False,72,0.009179,1183.157927
arc_testnet,0xfe268cb3ea0ae7bdc8b6b11e01e694cc1a00e507,False,72,0.004162,547.7495329999999
arc_testnet,0x8cc1b809011eb798d338834b52b6753e920523ed,False,71,0.004252000000000001,562.88565
arc_testnet,0x4b8eb1f61a5c6e2456cd8eef6b6a0b1a76ad7c92,False,71,0.002188,279.798865
arc_testnet,0x86a880f6d419e1659ba216f059e1e3ee2bb28407,False,71,0.003354,392.42545399999995
arc_testnet,0xf9547a5a0b6004942129a1c8db3181b5914679b3,False,71,0.004543999999999999,597.0716019999999
arc_testnet,0x5621e5ff02252b4d3f280ea8381ba083730da474,False,71,0.004826,620.872562
arc_testnet,0x75a5f8b97795f47128f0c7aa684b4613bbd3c9e3,False,71,0.005228,696.105377
arc_testnet,0xb9de8e8ac4e889635773dac1e780b527ce754e00,False,71,0.0061719999999999995,832.0483230000001
arc_testnet,0x8710d8fcc06a70d4748cdaf4a52441686f9779d9,False,71,0.00505,692.44368
arc_testnet,0x55474927fa29ef40154dd7ada84ac85693545812,False,71,0.007795,1023.5970950000001
arc_testnet,0x6c0e8c5fb774a66b353fcef7c5fcb00d4727bf4e,False,71,0.007379,879.5518399999999
arc_testnet,0xfa332bfbf423f781f92a3ae0d7755324c8077cd5,False,71,0.0024410000000000005,322.15764499999995
arc_testnet,0xe3c9f93cd8f9b77e4b7d21904135b11a1a7d096e,False,70,0.005529,723.6628760000001
arc_testnet,0x3776e58da6c5c77c4efab524e19fb5d7acaa36cf,False,70,0.006917,874.0975759999999
arc_testnet,0x0338adb9e2d440ea6b7eaf286f117c760e59234c,False,70,0.00599,783.0840220000001
arc_testnet,0x504f5e7bae0094ffdebb0144c92fdc0aea4c94e2,False,70,0.006003,755.877305
arc_testnet,0x8233656e1b40363626ba750bb828459b6469f9b2,False,70,0.00456,569.7293660000001
arc_testnet,0x8b0bb090e22e3106233d05b0371c98f38a6b38c5,False,70,0.0059359999999999994,737.277531
arc_testnet,0x0b1a570483076b5b8179e6138108b65c04744e5c,False,70,0.00558,713.869341
arc_testnet,0x261f23dd7089cee12f51be9beedd8665114b80f4,False,69,0.005326,664.861077
arc_testnet,0x53a79591b297e01e7e84ee11d3c14a1df4a44364,False,69,0.0033489999999999995,433.486359
arc_testnet,0x4c7afb398755fd90f87e04f7f97008cec50619a5,False,69,0.0049180000000000005,640.785277
arc_testnet,0x79ac7b070111ab0bb3d473a369bba1c453fab187,False,69,0.005731999999999999,767.3572409999999
arc_testnet,0xec4841561470e9f5f5b534e2b57552f515d582ea,False,69,0.001976,261.71417999999994
arc_testnet,0xdbf592bff0b593b41da19dc6b745b6279213751e,False,68,0.002501,314.225516
arc_testnet,0x423f73f4f8c70b2a70c63fbe0c845b598007366e,False,68,0.003832,494.0005739999999
arc_testnet,0xc191f78ccae36aab5de892ae61faca3a96b8c8b4,False,68,0.0026179999999999997,345.238243
